article_name,country,revision_id,population,article_quality_est
Bir I of Kanem,Chad,355319463,16877000,Stub
Abdullah II of Kanem,Chad,498683267,16877000,Stub
Salmama II of Kanem,Chad,565745353,16877000,Stub
Kuri I of Kanem,Chad,565745365,16877000,Stub
Mohammed I of Kanem,Chad,565745375,16877000,Stub
Kuri II of Kanem,Chad,669719757,16877000,Stub
Bir II of Kanem,Chad,670893206,16877000,Stub
Mahamat Hissene,Chad,693055898,16877000,Stub
Othman I,Chad,705432607,16877000,Stub
Alphonse Kotiga,Chad,707593108,16877000,Stub
Oueddei Kichidemi,Chad,708346649,16877000,Start
Dunama I,Chad,710675092,16877000,Stub
Ahmad (Kanem-Bornu king),Chad,711388267,16877000,Stub
Djibrine Kerallah,Chad,712971263,16877000,Stub
Maurice Ngangtar,Chad,712971315,16877000,Stub
Idriss Miskine,Chad,712971738,16877000,Stub
Laoukein Kourayo Médard,Chad,716886170,16877000,Stub
Nadji Madou,Chad,716886788,16877000,Stub
Noël Milarew Odingar,Chad,716891799,16877000,Start
Yaya Dillo Djérou,Chad,717733209,16877000,Stub
Acheikh Ibn-Oumar,Chad,719821590,16877000,Start
Quatre Sou Quatre,Chad,720066754,16877000,Stub
Ali Gazi,Chad,722563340,16877000,Stub
Mahamat Djarma Khatir,Chad,725132042,16877000,Stub
Dunama IX Lefiami,Chad,731749611,16877000,Stub
Dawud of Kanem,Chad,736550266,16877000,Stub
Ahmed Koulamallah,Chad,738855197,16877000,Start
Abbo Nassour,Chad,741369486,16877000,C
Abdel Kader Baba-Laddé,Chad,742213176,16877000,Stub
Hummay,Chad,747271475,16877000,Stub
Ngarlejy Yorongar,Chad,751304544,16877000,C
Saleh Kezabo,Chad,751380073,16877000,Stub
Bourkou Louise Kabo,Chad,757072468,16877000,Start
Brahim Koulamallah,Chad,757802238,16877000,Stub
Saadie Goukouni Weddeye,Chad,757842614,16877000,Start
Mahamoud Adam Béchir,Chad,762579466,16877000,Start
Djidingar Dono Ngardoum,Chad,764133533,16877000,Stub
Youssouf Saleh Abbas,Chad,771052289,16877000,C
Koibla Djimasta,Chad,774223245,16877000,Start
Nassour Guelendouksia Ouaido,Chad,774223248,16877000,C
Joseph Brahim Seid,Chad,777478442,16877000,Stub
Joseph Yodoyman,Chad,777550078,16877000,Start
Antoine Bangui,Chad,782638002,16877000,Start
Ibrahim IV of Bornu,Chad,785614014,16877000,Stub
Hadjé Halimé,Chad,786449636,16877000,C
Youssouf Togoïmi,Chad,787390241,16877000,Start
Adoum Younousmi,Chad,787719236,16877000,Start
François Tombalbaye,Chad,787738541,16877000,C
Ahmat Hassaballah Soubiane,Chad,787910771,16877000,Stub
Ahmad Allam-Mi,Chad,787921293,16877000,Start
Laotegguelnodji Koumtog,Chad,788009613,16877000,Stub
Mahamat Ali Adoum,Chad,788014671,16877000,Start
Mahamat Saleh Annadif,Chad,788658822,16877000,Start
Mohamed Bechir-Sow,Chad,788827248,16877000,Stub
Gontchomé Sahoulba,Chad,788828388,16877000,Start
Gabriel Lisette,Chad,788828519,16877000,Start
Ali II of Bornu,Chad,788999424,16877000,Stub
Arabi El Goni,Chad,789126126,16877000,Stub
Dunama Dabbalemi,Chad,789935196,16877000,Start
Idris Alooma,Chad,792734868,16877000,Start
Mahamat Nouri,Chad,792954115,16877000,B
Idriss Ndele Moussa,Chad,796654025,16877000,Stub
